customer_type,customer,date,item,customer_cat
B-to-B,d0ff5,2018-10-08,item_21,cat_3
B-to-B,d0ff5,2018-11-20,item_24,cat_3
B-to-B,d0ff5,2019-01-10,item_17,cat_3
B-to-B,d0ff5,2019-01-22,item_05,cat_3
B-to-B,d0ff5,2019-02-27,item_05,cat_3
B-to-B,d0ff5,2019-02-27,item_17,cat_3
B-to-B,d0ff5,2019-03-07,item_15,cat_3
B-to-B,d0ff5,2019-03-19,item_17,cat_3
B-to-B,d0ff5,2019-04-02,item_25,cat_3
B-to-B,d0ff5,2019-05-13,item_09,cat_3
B-to-B,d0ff5,2019-06-03,item_21,cat_3
B-to-B,d0ff5,2019-06-04,item_09,cat_3
B-to-B,d0ff5,2019-06-27,item_23,cat_3
B-to-B,d0ff5,2019-07-10,item_12,cat_3
B-to-B,d0ff5,2019-08-14,item_17,cat_3
B-to-B,d0ff5,2019-09-10,item_19,cat_3
B-to-B,d0ff5,2019-09-18,item_17,cat_3
B-to-B,d0ff5,2019-09-26,item_17,cat_3
B-to-B,d0ff5,2019-10-11,item_17,cat_3
B-to-B,d0ff5,2019-10-24,item_25,cat_3
B-to-B,d0ff5,2019-11-13,item_25,cat_3
B-to-B,d0ff5,2019-12-16,item_17,cat_3
B-to-B,d0ff5,2019-12-18,item_17,cat_3
B-to-B,d0ff5,2020-01-09,item_23,cat_3
B-to-B,d0ff5,2020-01-17,item_21,cat_3
B-to-B,d0ff5,2020-01-23,item_09,cat_3
B-to-B,d0ff5,2020-01-23,item_17,cat_3
B-to-B,d0ff5,2020-02-24,item_21,cat_3
B-to-B,d0ff5,2020-03-09,item_09,cat_3
B-to-B,d0ff5,2020-03-11,item_19,cat_3
B-to-B,d0ff5,2020-04-08,item_17,cat_3
B-to-B,d0ff5,2020-05-12,item_05,cat_3
B-to-B,d0ff5,2020-09-03,item_17,cat_3
B-to-B,d0ff5,2020-10-21,item_19,cat_3
B-to-B,d0ff5,2020-11-24,item_10,cat_3
B-to-B,d0ff5,2020-11-27,item_24,cat_3
B-to-B,d0ff5,2020-12-03,item_24,cat_3
B-to-B,d0ff5,2020-12-07,item_23,cat_3
B-to-B,d0ff5,2021-01-28,item_05,cat_3
B-to-B,d0ff5,2021-07-05,item_17,cat_3
B-to-B,d0ff5,2021-09-09,item_05,cat_3
B-to-B,d0ff5,2021-12-06,item_24,cat_3
B-to-B,d0ff5,2022-04-20,item_17,cat_3
B-to-B,d0ff5,2022-05-04,item_23,cat_3
B-to-B,d0ff5,2022-07-07,item_05,cat_3
B-to-B,d0ff5,2022-07-07,item_19,cat_3
B-to-B,d0ff5,2022-07-16,item_26,cat_3
B-to-B,d0ff5,2022-10-14,item_15,cat_3
B-to-B,d0ff5,2022-12-14,item_24,cat_3
B-to-B,d0ff5,2023-01-05,item_19,cat_3
B-to-B,d0ff5,2023-02-14,item_25,cat_3
B-to-B,d0ff5,2023-04-27,item_17,cat_3
B-to-B,d0ff5,2023-05-04,item_24,cat_3
B-to-B,d0ff5,2023-05-12,item_15,cat_3
B-to-B,d0ff5,2023-05-15,item_19,cat_3
B-to-B,d0ff5,2023-05-15,item_21,cat_3
B-to-B,d0ff5,2023-05-16,item_25,cat_3
B-to-B,d0ff5,2023-06-06,item_15,cat_3
B-to-B,d0ff5,2023-06-25,item_19,cat_3
B-to-B,d0ff5,2023-08-04,item_21,cat_3
B-to-B,d0ff5,2023-08-21,item_15,cat_3
B-to-B,d0ff5,2023-09-12,item_05,cat_3
B-to-B,d0ff5,2023-10-19,item_17,cat_3
B-to-B,d0ff5,2023-10-31,item_24,cat_3
B-to-B,d0ff5,2023-11-23,item_05,cat_3
B-to-B,d0ff5,2023-12-07,item_15,cat_3
B-to-B,d0ff5,2023-12-12,item_11,cat_3
B-to-B,d0ff5,2023-12-12,item_24,cat_3
B-to-B,d0ff5,2023-12-19,item_11,cat_3
B-to-B,d0ff5,2023-12-19,item_23,cat_3
B-to-B,d0ff5,2023-12-20,item_18,cat_3
B-to-B,d0ff5,2023-12-21,item_19,cat_3
B-to-B,d0ff5,2024-01-15,item_15,cat_3
B-to-B,d0ff5,2024-01-26,item_05,cat_3
B-to-B,d0ff5,2024-03-06,item_26,cat_3
B-to-B,d0ff5,2024-03-20,item_21,cat_3
B-to-B,d0ff5,2024-03-27,item_05,cat_3
B-to-B,d0ff5,2024-03-31,item_09,cat_3
B-to-B,d0ff5,2024-04-12,item_05,cat_3
B-to-B,d0ff5,2024-04-30,item_17,cat_3
B-to-B,d0ff5,2024-06-04,item_05,cat_3
B-to-B,d0ff5,2024-06-25,item_05,cat_3
B-to-B,d0ff5,2024-06-28,item_19,cat_3
B-to-B,d0ff5,2024-07-03,item_05,cat_3
B-to-B,d0ff5,2024-09-08,item_17,cat_3
B-to-B,d0ff5,2024-09-25,item_19,cat_3
B-to-B,d0ff5,2024-10-10,item_24,cat_3
B-to-B,d0ff5,2024-10-29,item_24,cat_3
B-to-B,d0ff5,2024-11-21,item_24,cat_3
B-to-B,d0ff5,2024-11-26,item_25,cat_3
B-to-B,d0ff5,2024-12-19,item_23,cat_3
B-to-B,d0ff5,2025-01-14,item_21,cat_3
B-to-B,d0ff5,2025-02-11,item_16,cat_3
B-to-B,d0ff5,2025-03-05,item_12,cat_3
B-to-B,d0ff5,2025-04-29,item_11,cat_3
B-to-B,d0ff5,2025-04-29,item_16,cat_3
B-to-B,d0ff5,2025-04-29,item_23,cat_3
B-to-B,d0ff5,2025-05-08,item_16,cat_3
B-to-B,d0ff5,2025-05-13,item_16,cat_3
B-to-B,d0ff5,2025-06-03,item_16,cat_3
B-to-B,d0ff5,2025-06-12,item_05,cat_3
